timestamp,station_id,temperature,humidity,pressure,wind_speed
2026-08-25 12:49:49.197501,AWS-01,28.25,64.79,1012.65,7.28
2026-08-25 12:50:49.197501,AWS-01,27.96,64.58,1013.58,6.15
2026-08-25 12:51:49.197501,AWS-01,28.37,65.68,1011.54,4.3
2026-08-25 12:52:49.197501,AWS-01,28.84,61.93,1010.28,4.16
2026-08-25 12:53:49.197501,AWS-01,27.98,65.2,1011.09,2.88
2026-08-25 12:54:49.197501,AWS-01,28.01,64.33,1012.07,2.86
2026-08-25 12:55:49.197501,AWS-01,28.94,64.77,1010.85,5.56
2026-08-25 12:56:49.197501,AWS-01,28.56,64.1,1011.4,7.78
2026-08-25 12:57:49.197501,AWS-01,27.97,62.88,1012.82,3.17
2026-08-25 12:58:49.197501,AWS-01,28.5,61.46,1010.67,5.3
2026-08-25 12:59:49.197501,AWS-01,28.02,64.59,1011.88,4.55
2026-08-25 13:00:49.197501,AWS-01,28.04,63.19,1011.54,6.59
2026-08-25 13:01:49.197501,AWS-01,28.42,61.56,1012.32,4.42
2026-08-25 13:02:49.197501,AWS-01,27.37,65.05,1013.03,6.4
2026-08-25 13:03:49.197501,AWS-01,27.49,63.6,1012.33,6.46
2026-08-25 13:04:49.197501,AWS-01,28.09,63.72,1010.89,3.21
2026-08-25 13:05:49.197501,AWS-01,27.89,65.97,1011.93,6.51
2026-08-25 13:06:49.197501,AWS-01,28.58,62.9,1012.36,7.31
2026-08-25 13:07:49.197501,AWS-01,27.99,66.15,1009.38,6.23
2026-08-25 13:08:49.197501,AWS-01,27.77,63.29,1012.09,2.02
2026-08-25 13:09:49.197501,AWS-01,29.23,64.21,1013.48,4.22
2026-08-25 13:10:49.197501,AWS-01,28.41,62.85,1012.92,5.49
2026-08-25 13:11:49.197501,AWS-01,28.58,64.31,1012.1,6.45
2026-08-25 13:12:49.197501,AWS-01,27.86,62.98,1011.61,2.8
2026-08-25 13:13:49.197501,AWS-01,28.32,63.8,1012.01,4.65
2026-08-25 13:14:49.197501,AWS-01,28.68,62.71,1011.66,3.8
2026-08-25 13:15:49.197501,AWS-01,28.07,63.89,1013.89,5.26
2026-08-25 13:16:49.197501,AWS-01,28.86,63.1,1010.08,4.96
2026-08-25 13:17:49.197501,AWS-01,28.39,66.85,1011.81,5.45
2026-08-25 13:18:49.197501,AWS-01,28.57,61.33,1013.14,6.13
2026-08-25 13:19:49.197501,AWS-01,28.44,61.66,1013.4,2.9
2026-08-25 13:20:49.197501,AWS-01,29.69,66.24,1011.01,4.15
2026-08-25 13:21:49.197501,AWS-01,28.78,62.14,1010.45,5.1
2026-08-25 13:22:49.197501,AWS-01,28.29,63.54,1011.08,7.32
2026-08-25 13:23:49.197501,AWS-01,29.25,62.28,1012.81,3.15
2026-08-25 13:24:49.197501,AWS-01,28.25,64.66,1010.39,5.28
2026-08-25 13:25:49.197501,AWS-01,28.99,63.81,1010.76,3.02
2026-08-25 13:26:49.197501,AWS-01,27.93,63.02,1012.25,5.52
2026-08-25 13:27:49.197501,AWS-01,28.27,62.86,1012.29,3.93
2026-08-25 13:28:49.197501,AWS-01,29.06,63.16,1010.81,5.98
2026-08-25 13:29:49.197501,AWS-01,29.35,63.56,1013.16,3.77
2026-08-25 13:30:49.197501,AWS-01,29.09,62.94,1012.82,7.85
2026-08-25 13:31:49.197501,AWS-01,28.97,61.13,1011.11,3.78
2026-08-25 13:32:49.197501,AWS-01,28.9,62.71,1012.28,6.24
2026-08-25 13:33:49.197501,AWS-01,28.34,64.31,1011.74,9.08
